model,block_layer,stage,pooling,source_language,target_language,metric,value,n
trillionlabs/Tri-0.5B-Base,22,input,last_token,zh,ja,r5,0.65625,512
trillionlabs/Tri-0.5B-Base,22,input,last_token,zh,ja,r10,0.71484375,512
trillionlabs/Tri-0.5B-Base,22,input,last_token,zh,ja,mrr,0.5777316604800586,512
trillionlabs/Tri-0.5B-Base,22,input,mean,en,ko,r1,0.455078125,512
trillionlabs/Tri-0.5B-Base,22,input,mean,en,ko,r5,0.666015625,512
trillionlabs/Tri-0.5B-Base,22,input,mean,en,ko,r10,0.703125,512
trillionlabs/Tri-0.5B-Base,22,input,mean,en,ko,mrr,0.5518003027294596,512
trillionlabs/Tri-0.5B-Base,22,input,mean,en,ja,r1,0.41796875,512
trillionlabs/Tri-0.5B-Base,22,input,mean,en,ja,r5,0.625,512
trillionlabs/Tri-0.5B-Base,22,input,mean,en,ja,r10,0.671875,512
trillionlabs/Tri-0.5B-Base,22,input,mean,en,ja,mrr,0.5147593175293946,512
trillionlabs/Tri-0.5B-Base,22,input,mean,en,zh,r1,0.5078125,512
trillionlabs/Tri-0.5B-Base,22,input,mean,en,zh,r5,0.662109375,512
trillionlabs/Tri-0.5B-Base,22,input,mean,en,zh,r10,0.69140625,512
trillionlabs/Tri-0.5B-Base,22,input,mean,en,zh,mrr,0.5779104595504961,512
trillionlabs/Tri-0.5B-Base,22,input,mean,ko,en,r1,0.2109375,512
trillionlabs/Tri-0.5B-Base,22,input,mean,ko,en,r5,0.255859375,512
trillionlabs/Tri-0.5B-Base,22,input,mean,ko,en,r10,0.275390625,512
trillionlabs/Tri-0.5B-Base,22,input,mean,ko,en,mrr,0.23923151368824414,512
trillionlabs/Tri-0.5B-Base,22,input,mean,ko,ja,r1,0.255859375,512
trillionlabs/Tri-0.5B-Base,22,input,mean,ko,ja,r5,0.359375,512
trillionlabs/Tri-0.5B-Base,22,input,mean,ko,ja,r10,0.400390625,512
trillionlabs/Tri-0.5B-Base,22,input,mean,ko,ja,mrr,0.3086611253125947,512
trillionlabs/Tri-0.5B-Base,22,input,mean,ko,zh,r1,0.125,512
trillionlabs/Tri-0.5B-Base,22,input,mean,ko,zh,r5,0.2265625,512
trillionlabs/Tri-0.5B-Base,22,input,mean,ko,zh,r10,0.28125,512
trillionlabs/Tri-0.5B-Base,22,input,mean,ko,zh,mrr,0.1838357095050517,512
trillionlabs/Tri-0.5B-Base,22,input,mean,ja,en,r1,0.25,512
trillionlabs/Tri-0.5B-Base,22,input,mean,ja,en,r5,0.314453125,512
trillionlabs/Tri-0.5B-Base,22,input,mean,ja,en,r10,0.337890625,512
trillionlabs/Tri-0.5B-Base,22,input,mean,ja,en,mrr,0.28653641594065443,512
trillionlabs/Tri-0.5B-Base,22,input,mean,ja,ko,r1,0.623046875,512
trillionlabs/Tri-0.5B-Base,22,input,mean,ja,ko,r5,0.798828125,512
trillionlabs/Tri-0.5B-Base,22,input,mean,ja,ko,r10,0.810546875,512
trillionlabs/Tri-0.5B-Base,22,input,mean,ja,ko,mrr,0.697458444615431,512
trillionlabs/Tri-0.5B-Base,22,input,mean,ja,zh,r1,0.576171875,512
trillionlabs/Tri-0.5B-Base,22,input,mean,ja,zh,r5,0.64453125,512
trillionlabs/Tri-0.5B-Base,22,input,mean,ja,zh,r10,0.673828125,512
trillionlabs/Tri-0.5B-Base,22,input,mean,ja,zh,mrr,0.6138639976292188,512
trillionlabs/Tri-0.5B-Base,22,input,mean,zh,en,r1,0.33984375,512
trillionlabs/Tri-0.5B-Base,22,input,mean,zh,en,r5,0.412109375,512
trillionlabs/Tri-0.5B-Base,22,input,mean,zh,en,r10,0.451171875,512
trillionlabs/Tri-0.5B-Base,22,input,mean,zh,en,mrr,0.38138757073530527,512
trillionlabs/Tri-0.5B-Base,22,input,mean,zh,ko,r1,0.5234375,512
trillionlabs/Tri-0.5B-Base,22,input,mean,zh,ko,r5,0.74609375,512
trillionlabs/Tri-0.5B-Base,22,input,mean,zh,ko,r10,0.7890625,512
trillionlabs/Tri-0.5B-Base,22,input,mean,zh,ko,mrr,0.6246916107221473,512
trillionlabs/Tri-0.5B-Base,22,input,mean,zh,ja,r1,0.640625,512
trillionlabs/Tri-0.5B-Base,22,input,mean,zh,ja,r5,0.75,512
trillionlabs/Tri-0.5B-Base,22,input,mean,zh,ja,r10,0.798828125,512
trillionlabs/Tri-0.5B-Base,22,input,mean,zh,ja,mrr,0.695159691554782,512
trillionlabs/Tri-0.5B-Base,22,post_attention,last_token,en,ko,r1,0.76953125,512
trillionlabs/Tri-0.5B-Base,22,post_attention,last_token,en,ko,r5,0.90625,512
trillionlabs/Tri-0.5B-Base,22,post_attention,last_token,en,ko,r10,0.93359375,512
trillionlabs/Tri-0.5B-Base,22,post_attention,last_token,en,ko,mrr,0.830314005344575,512
trillionlabs/Tri-0.5B-Base,22,post_attention,last_token,en,ja,r1,0.595703125,512
trillionlabs/Tri-0.5B-Base,22,post_attention,last_token,en,ja,r5,0.78125,512
trillionlabs/Tri-0.5B-Base,22,post_attention,last_token,en,ja,r10,0.837890625,512
trillionlabs/Tri-0.5B-Base,22,post_attention,last_token,en,ja,mrr,0.6799517352923523,512
trillionlabs/Tri-0.5B-Base,22,post_attention,last_token,en,zh,r1,0.775390625,512
trillionlabs/Tri-0.5B-Base,22,post_attention,last_token,en,zh,r5,0.92578125,512
trillionlabs/Tri-0.5B-Base,22,post_attention,last_token,en,zh,r10,0.953125,512
trillionlabs/Tri-0.5B-Base,22,post_attention,last_token,en,zh,mrr,0.8409427842436263,512
trillionlabs/Tri-0.5B-Base,22,post_attention,last_token,ko,en,r1,0.78515625,512
trillionlabs/Tri-0.5B-Base,22,post_attention,last_token,ko,en,r5,0.908203125,512
trillionlabs/Tri-0.5B-Base,22,post_attention,last_token,ko,en,r10,0.927734375,512
trillionlabs/Tri-0.5B-Base,22,post_attention,last_token,ko,en,mrr,0.837261265669438,512
trillionlabs/Tri-0.5B-Base,22,post_attention,last_token,ko,ja,r1,0.5625,512
trillionlabs/Tri-0.5B-Base,22,post_attention,last_token,ko,ja,r5,0.71484375,512
trillionlabs/Tri-0.5B-Base,22,post_attention,last_token,ko,ja,r10,0.7578125,512
trillionlabs/Tri-0.5B-Base,22,post_attention,last_token,ko,ja,mrr,0.6316189805892766,512
trillionlabs/Tri-0.5B-Base,22,post_attention,last_token,ko,zh,r1,0.66015625,512
trillionlabs/Tri-0.5B-Base,22,post_attention,last_token,ko,zh,r5,0.841796875,512
trillionlabs/Tri-0.5B-Base,22,post_attention,last_token,ko,zh,r10,0.884765625,512
trillionlabs/Tri-0.5B-Base,22,post_attention,last_token,ko,zh,mrr,0.7420529535310371,512
trillionlabs/Tri-0.5B-Base,22,post_attention,last_token,ja,en,r1,0.68359375,512
trillionlabs/Tri-0.5B-Base,22,post_attention,last_token,ja,en,r5,0.896484375,512
trillionlabs/Tri-0.5B-Base,22,post_attention,last_token,ja,en,r10,0.9296875,512
trillionlabs/Tri-0.5B-Base,22,post_attention,last_token,ja,en,mrr,0.7791460670551642,512
trillionlabs/Tri-0.5B-Base,22,post_attention,last_token,ja,ko,r1,0.673828125,512
trillionlabs/Tri-0.5B-Base,22,post_attention,last_token,ja,ko,r5,0.84765625,512
trillionlabs/Tri-0.5B-Base,22,post_attention,last_token,ja,ko,r10,0.90234375,512
trillionlabs/Tri-0.5B-Base,22,post_attention,last_token,ja,ko,mrr,0.7503823943916509,512
trillionlabs/Tri-0.5B-Base,22,post_attention,last_token,ja,zh,r1,0.751953125,512
trillionlabs/Tri-0.5B-Base,22,post_attention,last_token,ja,zh,r5,0.904296875,512
trillionlabs/Tri-0.5B-Base,22,post_attention,last_token,ja,zh,r10,0.9375,512
trillionlabs/Tri-0.5B-Base,22,post_attention,last_token,ja,zh,mrr,0.8207531757795233,512
trillionlabs/Tri-0.5B-Base,22,post_attention,last_token,zh,en,r1,0.74609375,512
trillionlabs/Tri-0.5B-Base,22,post_attention,last_token,zh,en,r5,0.916015625,512
trillionlabs/Tri-0.5B-Base,22,post_attention,last_token,zh,en,r10,0.94140625,512
trillionlabs/Tri-0.5B-Base,22,post_attention,last_token,zh,en,mrr,0.8260614326762846,512
trillionlabs/Tri-0.5B-Base,22,post_attention,last_token,zh,ko,r1,0.62109375,512
trillionlabs/Tri-0.5B-Base,22,post_attention,last_token,zh,ko,r5,0.82421875,512
trillionlabs/Tri-0.5B-Base,22,post_attention,last_token,zh,ko,r10,0.87109375,512
trillionlabs/Tri-0.5B-Base,22,post_attention,last_token,zh,ko,mrr,0.711652736573602,512
trillionlabs/Tri-0.5B-Base,22,post_attention,last_token,zh,ja,r1,0.521484375,512
trillionlabs/Tri-0.5B-Base,22,post_attention,last_token,zh,ja,r5,0.69921875,512
trillionlabs/Tri-0.5B-Base,22,post_attention,last_token,zh,ja,r10,0.74609375,512
trillionlabs/Tri-0.5B-Base,22,post_attention,last_token,zh,ja,mrr,0.6023550896699312,512
trillionlabs/Tri-0.5B-Base,22,post_attention,mean,en,ko,r1,0.48046875,512
trillionlabs/Tri-0.5B-Base,22,post_attention,mean,en,ko,r5,0.68359375,512
trillionlabs/Tri-0.5B-Base,22,post_attention,mean,en,ko,r10,0.736328125,512
trillionlabs/Tri-0.5B-Base,22,post_attention,mean,en,ko,mrr,0.5775384341995953,512
trillionlabs/Tri-0.5B-Base,22,post_attention,mean,en,ja,r1,0.384765625,512
trillionlabs/Tri-0.5B-Base,22,post_attention,mean,en,ja,r5,0.62890625,512
trillionlabs/Tri-0.5B-Base,22,post_attention,mean,en,ja,r10,0.6875,512
trillionlabs/Tri-0.5B-Base,22,post_attention,mean,en,ja,mrr,0.49680540369745163,512
trillionlabs/Tri-0.5B-Base,22,post_attention,mean,en,zh,r1,0.5078125,512
trillionlabs/Tri-0.5B-Base,22,post_attention,mean,en,zh,r5,0.65625,512
trillionlabs/Tri-0.5B-Base,22,post_attention,mean,en,zh,r10,0.70703125,512
trillionlabs/Tri-0.5B-Base,22,post_attention,mean,en,zh,mrr,0.5784678127602942,512
trillionlabs/Tri-0.5B-Base,22,post_attention,mean,ko,en,r1,0.203125,512
trillionlabs/Tri-0.5B-Base,22,post_attention,mean,ko,en,r5,0.24609375,512
trillionlabs/Tri-0.5B-Base,22,post_attention,mean,ko,en,r10,0.267578125,512
trillionlabs/Tri-0.5B-Base,22,post_attention,mean,ko,en,mrr,0.23194782705115016,512
trillionlabs/Tri-0.5B-Base,22,post_attention,mean,ko,ja,r1,0.240234375,512
trillionlabs/Tri-0.5B-Base,22,post_attention,mean,ko,ja,r5,0.333984375,512
trillionlabs/Tri-0.5B-Base,22,post_attention,mean,ko,ja,r10,0.37890625,512
trillionlabs/Tri-0.5B-Base,22,post_attention,mean,ko,ja,mrr,0.2899754034166851,512
trillionlabs/Tri-0.5B-Base,22,post_attention,mean,ko,zh,r1,0.111328125,512
trillionlabs/Tri-0.5B-Base,22,post_attention,mean,ko,zh,r5,0.20703125,512
trillionlabs/Tri-0.5B-Base,22,post_attention,mean,ko,zh,r10,0.255859375,512
trillionlabs/Tri-0.5B-Base,22,post_attention,mean,ko,zh,mrr,0.16679786274952052,512
trillionlabs/Tri-0.5B-Base,22,post_attention,mean,ja,en,r1,0.23046875,512
trillionlabs/Tri-0.5B-Base,22,post_attention,mean,ja,en,r5,0.294921875,512
trillionlabs/Tri-0.5B-Base,22,post_attention,mean,ja,en,r10,0.3125,512
trillionlabs/Tri-0.5B-Base,22,post_attention,mean,ja,en,mrr,0.26592909649680496,512
trillionlabs/Tri-0.5B-Base,22,post_attention,mean,ja,ko,r1,0.611328125,512
trillionlabs/Tri-0.5B-Base,22,post_attention,mean,ja,ko,r5,0.765625,512
trillionlabs/Tri-0.5B-Base,22,post_attention,mean,ja,ko,r10,0.8046875,512
trillionlabs/Tri-0.5B-Base,22,post_attention,mean,ja,ko,mrr,0.6836737227659235,512
trillionlabs/Tri-0.5B-Base,22,post_attention,mean,ja,zh,r1,0.583984375,512
trillionlabs/Tri-0.5B-Base,22,post_attention,mean,ja,zh,r5,0.65234375,512
trillionlabs/Tri-0.5B-Base,22,post_attention,mean,ja,zh,r10,0.68359375,512
trillionlabs/Tri-0.5B-Base,22,post_attention,mean,ja,zh,mrr,0.6207622209658811,512
trillionlabs/Tri-0.5B-Base,22,post_attention,mean,zh,en,r1,0.34375,512
trillionlabs/Tri-0.5B-Base,22,post_attention,mean,zh,en,r5,0.408203125,512
trillionlabs/Tri-0.5B-Base,22,post_attention,mean,zh,en,r10,0.443359375,512
trillionlabs/Tri-0.5B-Base,22,post_attention,mean,zh,en,mrr,0.3809112342715397,512
trillionlabs/Tri-0.5B-Base,22,post_attention,mean,zh,ko,r1,0.51171875,512
trillionlabs/Tri-0.5B-Base,22,post_attention,mean,zh,ko,r5,0.74609375,512
trillionlabs/Tri-0.5B-Base,22,post_attention,mean,zh,ko,r10,0.80078125,512
trillionlabs/Tri-0.5B-Base,22,post_attention,mean,zh,ko,mrr,0.620877927721474,512
trillionlabs/Tri-0.5B-Base,22,post_attention,mean,zh,ja,r1,0.658203125,512
trillionlabs/Tri-0.5B-Base,22,post_attention,mean,zh,ja,r5,0.767578125,512
trillionlabs/Tri-0.5B-Base,22,post_attention,mean,zh,ja,r10,0.814453125,512
trillionlabs/Tri-0.5B-Base,22,post_attention,mean,zh,ja,mrr,0.7125769850930967,512
trillionlabs/Tri-0.5B-Base,22,output,last_token,en,ko,r1,0.671875,512
trillionlabs/Tri-0.5B-Base,22,output,last_token,en,ko,r5,0.86328125,512
trillionlabs/Tri-0.5B-Base,22,output,last_token,en,ko,r10,0.8984375,512
trillionlabs/Tri-0.5B-Base,22,output,last_token,en,ko,mrr,0.7582817177413232,512
trillionlabs/Tri-0.5B-Base,22,output,last_token,en,ja,r1,0.5703125,512
trillionlabs/Tri-0.5B-Base,22,output,last_token,en,ja,r5,0.775390625,512
trillionlabs/Tri-0.5B-Base,22,output,last_token,en,ja,r10,0.837890625,512
trillionlabs/Tri-0.5B-Base,22,output,last_token,en,ja,mrr,0.660161889721832,512
trillionlabs/Tri-0.5B-Base,22,output,last_token,en,zh,r1,0.626953125,512
trillionlabs/Tri-0.5B-Base,22,output,last_token,en,zh,r5,0.845703125,512
trillionlabs/Tri-0.5B-Base,22,output,last_token,en,zh,r10,0.8984375,512
trillionlabs/Tri-0.5B-Base,22,output,last_token,en,zh,mrr,0.7262567317702547,512
trillionlabs/Tri-0.5B-Base,22,output,last_token,ko,en,r1,0.779296875,512
trillionlabs/Tri-0.5B-Base,22,output,last_token,ko,en,r5,0.912109375,512
trillionlabs/Tri-0.5B-Base,22,output,last_token,ko,en,r10,0.9375,512
trillionlabs/Tri-0.5B-Base,22,output,last_token,ko,en,mrr,0.8379591859664571,512
trillionlabs/Tri-0.5B-Base,22,output,last_token,ko,ja,r1,0.580078125,512
trillionlabs/Tri-0.5B-Base,22,output,last_token,ko,ja,r5,0.740234375,512
trillionlabs/Tri-0.5B-Base,22,output,last_token,ko,ja,r10,0.78515625,512
trillionlabs/Tri-0.5B-Base,22,output,last_token,ko,ja,mrr,0.6527326078804638,512
trillionlabs/Tri-0.5B-Base,22,output,last_token,ko,zh,r1,0.583984375,512
trillionlabs/Tri-0.5B-Base,22,output,last_token,ko,zh,r5,0.810546875,512
trillionlabs/Tri-0.5B-Base,22,output,last_token,ko,zh,r10,0.876953125,512
trillionlabs/Tri-0.5B-Base,22,output,last_token,ko,zh,mrr,0.6902965178788129,512
trillionlabs/Tri-0.5B-Base,22,output,last_token,ja,en,r1,0.701171875,512
trillionlabs/Tri-0.5B-Base,22,output,last_token,ja,en,r5,0.90234375,512
trillionlabs/Tri-0.5B-Base,22,output,last_token,ja,en,r10,0.9296875,512
trillionlabs/Tri-0.5B-Base,22,output,last_token,ja,en,mrr,0.7907188603990298,512
trillionlabs/Tri-0.5B-Base,22,output,last_token,ja,ko,r1,0.650390625,512
trillionlabs/Tri-0.5B-Base,22,output,last_token,ja,ko,r5,0.833984375,512
trillionlabs/Tri-0.5B-Base,22,output,last_token,ja,ko,r10,0.88671875,512
trillionlabs/Tri-0.5B-Base,22,output,last_token,ja,ko,mrr,0.7311592548217352,512
trillionlabs/Tri-0.5B-Base,22,output,last_token,ja,zh,r1,0.7265625,512
trillionlabs/Tri-0.5B-Base,22,output,last_token,ja,zh,r5,0.904296875,512
trillionlabs/Tri-0.5B-Base,22,output,last_token,ja,zh,r10,0.93359375,512
trillionlabs/Tri-0.5B-Base,22,output,last_token,ja,zh,mrr,0.8061109041805719,512
trillionlabs/Tri-0.5B-Base,22,output,last_token,zh,en,r1,0.76171875,512
trillionlabs/Tri-0.5B-Base,22,output,last_token,zh,en,r5,0.91796875,512
trillionlabs/Tri-0.5B-Base,22,output,last_token,zh,en,r10,0.955078125,512
trillionlabs/Tri-0.5B-Base,22,output,last_token,zh,en,mrr,0.8362554715141767,512
trillionlabs/Tri-0.5B-Base,22,output,last_token,zh,ko,r1,0.576171875,512
trillionlabs/Tri-0.5B-Base,22,output,last_token,zh,ko,r5,0.806640625,512
trillionlabs/Tri-0.5B-Base,22,output,last_token,zh,ko,r10,0.875,512
trillionlabs/Tri-0.5B-Base,22,output,last_token,zh,ko,mrr,0.6802076154327419,512
trillionlabs/Tri-0.5B-Base,22,output,last_token,zh,ja,r1,0.521484375,512
trillionlabs/Tri-0.5B-Base,22,output,last_token,zh,ja,r5,0.693359375,512
trillionlabs/Tri-0.5B-Base,22,output,last_token,zh,ja,r10,0.751953125,512
trillionlabs/Tri-0.5B-Base,22,output,last_token,zh,ja,mrr,0.6027164239281108,512
trillionlabs/Tri-0.5B-Base,22,output,mean,en,ko,r1,0.33984375,512
trillionlabs/Tri-0.5B-Base,22,output,mean,en,ko,r5,0.595703125,512
trillionlabs/Tri-0.5B-Base,22,output,mean,en,ko,r10,0.689453125,512
trillionlabs/Tri-0.5B-Base,22,output,mean,en,ko,mrr,0.45577563640414037,512
trillionlabs/Tri-0.5B-Base,22,output,mean,en,ja,r1,0.279296875,512
trillionlabs/Tri-0.5B-Base,22,output,mean,en,ja,r5,0.55078125,512
trillionlabs/Tri-0.5B-Base,22,output,mean,en,ja,r10,0.646484375,512
trillionlabs/Tri-0.5B-Base,22,output,mean,en,ja,mrr,0.40712854760041184,512
trillionlabs/Tri-0.5B-Base,22,output,mean,en,zh,r1,0.322265625,512
trillionlabs/Tri-0.5B-Base,22,output,mean,en,zh,r5,0.537109375,512
trillionlabs/Tri-0.5B-Base,22,output,mean,en,zh,r10,0.642578125,512
trillionlabs/Tri-0.5B-Base,22,output,mean,en,zh,mrr,0.42552076736333955,512
trillionlabs/Tri-0.5B-Base,22,output,mean,ko,en,r1,0.154296875,512
trillionlabs/Tri-0.5B-Base,22,output,mean,ko,en,r5,0.205078125,512
trillionlabs/Tri-0.5B-Base,22,output,mean,ko,en,r10,0.23046875,512
trillionlabs/Tri-0.5B-Base,22,output,mean,ko,en,mrr,0.1849499829354671,512
trillionlabs/Tri-0.5B-Base,22,output,mean,ko,ja,r1,0.171875,512
trillionlabs/Tri-0.5B-Base,22,output,mean,ko,ja,r5,0.275390625,512
trillionlabs/Tri-0.5B-Base,22,output,mean,ko,ja,r10,0.30859375,512
trillionlabs/Tri-0.5B-Base,22,output,mean,ko,ja,mrr,0.2264767062600238,512
trillionlabs/Tri-0.5B-Base,22,output,mean,ko,zh,r1,0.068359375,512
trillionlabs/Tri-0.5B-Base,22,output,mean,ko,zh,r5,0.138671875,512
trillionlabs/Tri-0.5B-Base,22,output,mean,ko,zh,r10,0.185546875,512
trillionlabs/Tri-0.5B-Base,22,output,mean,ko,zh,mrr,0.11204513383006333,512
trillionlabs/Tri-0.5B-Base,22,output,mean,ja,en,r1,0.173828125,512
trillionlabs/Tri-0.5B-Base,22,output,mean,ja,en,r5,0.224609375,512
trillionlabs/Tri-0.5B-Base,22,output,mean,ja,en,r10,0.248046875,512
trillionlabs/Tri-0.5B-Base,22,output,mean,ja,en,mrr,0.20530246449594075,512
trillionlabs/Tri-0.5B-Base,22,output,mean,ja,ko,r1,0.462890625,512
trillionlabs/Tri-0.5B-Base,22,output,mean,ja,ko,r5,0.6640625,512
trillionlabs/Tri-0.5B-Base,22,output,mean,ja,ko,r10,0.708984375,512
trillionlabs/Tri-0.5B-Base,22,output,mean,ja,ko,mrr,0.5584885769508201,512
trillionlabs/Tri-0.5B-Base,22,output,mean,ja,zh,r1,0.578125,512
trillionlabs/Tri-0.5B-Base,22,output,mean,ja,zh,r5,0.638671875,512
trillionlabs/Tri-0.5B-Base,22,output,mean,ja,zh,r10,0.67578125,512
trillionlabs/Tri-0.5B-Base,22,output,mean,ja,zh,mrr,0.6130788829473963,512
trillionlabs/Tri-0.5B-Base,22,output,mean,zh,en,r1,0.265625,512
trillionlabs/Tri-0.5B-Base,22,output,mean,zh,en,r5,0.34765625,512
trillionlabs/Tri-0.5B-Base,22,output,mean,zh,en,r10,0.380859375,512
trillionlabs/Tri-0.5B-Base,22,output,mean,zh,en,mrr,0.3089327552075817,512
trillionlabs/Tri-0.5B-Base,22,output,mean,zh,ko,r1,0.33984375,512
trillionlabs/Tri-0.5B-Base,22,output,mean,zh,ko,r5,0.630859375,512
trillionlabs/Tri-0.5B-Base,22,output,mean,zh,ko,r10,0.728515625,512
trillionlabs/Tri-0.5B-Base,22,output,mean,zh,ko,mrr,0.4775822592233808,512
trillionlabs/Tri-0.5B-Base,22,output,mean,zh,ja,r1,0.6484375,512
trillionlabs/Tri-0.5B-Base,22,output,mean,zh,ja,r5,0.7734375,512
trillionlabs/Tri-0.5B-Base,22,output,mean,zh,ja,r10,0.802734375,512
trillionlabs/Tri-0.5B-Base,22,output,mean,zh,ja,mrr,0.7044373514685454,512
