model,layer,normalized_depth,pooling,n_train,n_eval,n_classes,true_language,predicted_language,count
trillionlabs/Tri-0.5B-Base,12,0.5,mean,1024,2048,4,zh,zh,512
trillionlabs/Tri-0.5B-Base,24,1.0,mean,1024,2048,4,en,en,512
trillionlabs/Tri-0.5B-Base,24,1.0,mean,1024,2048,4,en,ko,0
trillionlabs/Tri-0.5B-Base,24,1.0,mean,1024,2048,4,en,ja,0
trillionlabs/Tri-0.5B-Base,24,1.0,mean,1024,2048,4,en,zh,0
trillionlabs/Tri-0.5B-Base,24,1.0,mean,1024,2048,4,ko,en,0
trillionlabs/Tri-0.5B-Base,24,1.0,mean,1024,2048,4,ko,ko,512
trillionlabs/Tri-0.5B-Base,24,1.0,mean,1024,2048,4,ko,ja,0
trillionlabs/Tri-0.5B-Base,24,1.0,mean,1024,2048,4,ko,zh,0
trillionlabs/Tri-0.5B-Base,24,1.0,mean,1024,2048,4,ja,en,0
trillionlabs/Tri-0.5B-Base,24,1.0,mean,1024,2048,4,ja,ko,0
trillionlabs/Tri-0.5B-Base,24,1.0,mean,1024,2048,4,ja,ja,512
trillionlabs/Tri-0.5B-Base,24,1.0,mean,1024,2048,4,ja,zh,0
trillionlabs/Tri-0.5B-Base,24,1.0,mean,1024,2048,4,zh,en,0
trillionlabs/Tri-0.5B-Base,24,1.0,mean,1024,2048,4,zh,ko,0
trillionlabs/Tri-0.5B-Base,24,1.0,mean,1024,2048,4,zh,ja,0
trillionlabs/Tri-0.5B-Base,24,1.0,mean,1024,2048,4,zh,zh,512
